text,true_label_name,predicted_label_name,confidence,logits
"""

 You stupid S.O.B. 

Stay away from my page, you are a sarcastic moron and a hypocrite. Don't try to advice myself regarding an minor incident, you are disturbing my self on an issue outside wikipedia, there are facts to be proven. Such hypocrites (like you) have no real reputation in real world, I'm acting on anti fascist and anti terrorist propaganda not from any extremist or bias perspective. I don't care how much you bother my self still there are methods to post on wikipedia without an account. However  trolling is not a harmful action, different people has different p.o.v.s. Further on you P.S; Wikipedia is not something to be expanded through discussion or being bold. Literary it is an communication method of which leads others to overcome questions in real life or practice contemporary issues such as terrorism, politics or religious extremism. Although you have reverted my last edit on your talk page. That means you don't have a real points to be discussed except condemning my self and dissing. Fuck you hypocrite. Summon """,Trolling,Derogatory,0.5736772,"[np.float32(-2.3728), np.float32(-2.416), np.float32(1.3731), np.float32(1.9967), np.float32(0.2949)]"
"Perhaps, Perhaps Che was a pig",Trolling,Derogatory,0.57158446,"[np.float32(-0.6041), np.float32(-2.0302), np.float32(2.0522), np.float32(2.4404), np.float32(-1.9685)]"
"I was Just indicating you fool 

Stupid Jew troutman.",Derogatory,Trolling,0.5615879,"[np.float32(-1.8808), np.float32(-2.6975), np.float32(2.1562), np.float32(1.7351), np.float32(-0.1579)]"
@kelvinkayyy safe bruv welcum to twitter my niggur,Derogatory,Trolling,0.5580536,"[np.float32(-1.8657), np.float32(-1.1981), np.float32(2.401), np.float32(2.0984), np.float32(-2.0492)]"
RT @bodmonting: Instead of worry bout who that bitch fucking why don't you get you some money,Trolling,Derogatory,0.5550012,"[np.float32(-2.0804), np.float32(-0.8534), np.float32(2.0962), np.float32(2.4018), np.float32(-1.7851)]"
"Never mind you are another slimebag who banned me. Just cut to the chase and try to contact my provider, asshole!",Trolling,Derogatory,0.55470806,"[np.float32(-2.5486), np.float32(-2.0122), np.float32(2.3407), np.float32(2.6101), np.float32(-1.1493)]"
"You just make me laugh 

HAHAHAHAHAHA so you are some aussie bitch hiding behind a computer and changing what i write, im half abo half lebo so i am the truth u cannot face but your girlfriend faces every night ;)",Trolling,Derogatory,0.54677135,"[np.float32(-1.9399), np.float32(-2.1845), np.float32(2.455), np.float32(2.6811), np.float32(-1.6061)]"
"hey 

you suck my dong",Derogatory,Trolling,0.54269725,"[np.float32(-1.3104), np.float32(-1.7756), np.float32(2.5456), np.float32(2.3202), np.float32(-2.0572)]"
"fuck you 

too bad ill turn my router on and off right after this edit, so i dont even have to fucking see your response and vandalise your page all over again....",Derogatory,Trolling,0.5416591,"[np.float32(-2.3639), np.float32(2.2135), np.float32(2.4459), np.float32(-0.9013), np.float32(-2.1371)]"
"WOW your userpage is faggoty. DICKBUTT DICKBUTT DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT
DICKBUTT",Trolling,Derogatory,0.52610236,"[np.float32(-2.2955), np.float32(-1.9895), np.float32(2.2237), np.float32(2.3975), np.float32(-0.8545)]"
RT @stephanielazox: Hope you got what you wanted bitch.,Trolling,Derogatory,0.51592624,"[np.float32(-2.6342), np.float32(-0.8601), np.float32(2.1893), np.float32(2.3347), np.float32(-1.3277)]"
ABC. CNN MSNBC cbs NBC the people who watch these news agencies are friggin racists idiots your democrat reps are friggin lost in la laland,Trolling,Derogatory,0.5112821,"[np.float32(-1.6725), np.float32(-2.4473), np.float32(2.3433), np.float32(2.4411), np.float32(-1.2425)]"
@AatibShahKhan @FehmiAkhtar @BahugunaSamir @khanumarfa When you people busy with #MeToo ..One more Abdul caught red handed raping Goat 😭😭 this  the reality of your so called peaceful religion  https://t.co/M5W4OdI6s3,Derogatory,Trolling,0.5087128,"[np.float32(0.6782), np.float32(-2.2424), np.float32(1.6675), np.float32(1.0218), np.float32(-1.3364)]"
AT YOUR FAT FUCKING UGLY ASS,Derogatory,Trolling,0.50434345,"[np.float32(-2.3151), np.float32(-1.5933), np.float32(2.409), np.float32(2.3389), np.float32(-1.3473)]"
"AGAIN, PHuck U 
There is no justice in Wikipedia only Thugocracy.  I am calling to task Nuclear Warfare.",Trolling,Derogatory,0.5043137,"[np.float32(-1.2873), np.float32(-2.1167), np.float32(1.7068), np.float32(1.8675), np.float32(-0.791)]"
Niggas out here talking shit that's why I'm about to go fuck your <b>bitch<\/b>,Trolling,Derogatory,0.5029981,"[np.float32(-4.0889), np.float32(0.408), np.float32(1.1988), np.float32(1.7576), np.float32(-0.1132)]"
We Fuckum Arab Babiesum,Trolling,Derogatory,0.50099176,"[np.float32(-3.0506), np.float32(-2.3978), np.float32(-0.8376), np.float32(2.541), np.float32(2.4908)]"
"He hit me with "" if I tell you who I'm fucking you can't say shit bitch, but her head game on point "" #RNS",Trolling,Derogatory,0.498051,"[np.float32(-2.7982), np.float32(-0.1898), np.float32(2.2519), np.float32(2.3439), np.float32(-2.2087)]"
"i hate you computer nerds and if i get blocked please get me blocked by 'cant sleep clown will eat me'. ok thats all ive got to say to u patetic losers who sit in front of a computer all day.

Bold textFUCK YOU ALL!!!!!!!!",Trolling,Derogatory,0.49216673,"[np.float32(-1.9441), np.float32(-2.36), np.float32(2.4541), np.float32(2.4643), np.float32(-1.3661)]"
"""
Thanks for the unblock (I was in bed hours before anyone even noticed) it now seems we are not allowed to comment on off-wiki blogs, even those that are nothing but a tissue of lies and insults about wikipedians.   Kelly still has her fans, I wonder how many of them saw her """"Bitch from Hell"""" remark on wherever it was and were too frightened of her to even raise an eyebrow.  Just for once I would love to be listening to the wittering and twittering on IRC, but alas no time - travelling today - so you won't have to watch out nervously for my edits.  Sorry if I've caused you all embarrassment but it needed saying, and as usual it was me that had to open my great mouth.  It always amazes me how some people post provocative statements and then become surprised when they provoke.  Of course the link and pasting from the blog should never have been allowed to remain there, amazing how quick though a comment against it can be removed - truly amazing - anyway this particular Prima-donna has to pas-de-deux to the aeroport - and you """"lying Prima-donnas"""" and assorted """"female dogs""""  have an encyclopedia to write. Lots of love. See you soon.  """,Derogatory,Trolling,0.491406,"[np.float32(-0.649), np.float32(1.1006), np.float32(1.3644), np.float32(-1.3687), np.float32(-1.3198)]"
pussy bitch. delete things,Trolling,Derogatory,0.4891441,"[np.float32(-2.7431), np.float32(-0.3557), np.float32(2.2777), np.float32(2.3217), np.float32(-2.0696)]"
"hola fucker 

hola fucker",Trolling,Derogatory,0.486265,"[np.float32(-3.0699), np.float32(-0.5422), np.float32(2.3964), np.float32(2.4094), np.float32(-1.9372)]"
